iter	Logloss
0	0.6862849342
1	0.679109007
2	0.6723112367
3	0.6669802681
4	0.660117658
5	0.6542281836
6	0.6477019857
7	0.6417048596
8	0.6356934563
9	0.6285623804
10	0.6225896066
11	0.616616623
12	0.6107158204
13	0.6048725714
14	0.5994345482
15	0.592353331
16	0.5858250876
17	0.5817565428
18	0.5762689777
19	0.5705641119
20	0.5647140153
21	0.5606541532
22	0.5560694926
23	0.5525995564
24	0.5478498507
25	0.5438368694
26	0.5378318494
27	0.5334638249
28	0.529151267
29	0.5248707942
30	0.5203677007
31	0.5171636323
32	0.5125768016
33	0.508953101
34	0.5063331817
35	0.5025416011
36	0.4986279193
37	0.4948338079
38	0.4904472853
39	0.4871935618
40	0.4829255642
41	0.4791891197
42	0.4755500509
43	0.4723381492
44	0.46870278
45	0.4661830453
46	0.4627122552
47	0.4595604575
48	0.4563055061
49	0.4523112249
50	0.4498591622
51	0.4465084493
52	0.4435653046
53	0.4411333336
54	0.4386379608
55	0.436173102
56	0.4334663548
57	0.4306867691
58	0.4286868196
59	0.4276353567
60	0.4246409704
61	0.4218582906
62	0.4192525877
63	0.4170360366
64	0.4142995851
65	0.4119378073
66	0.4094212074
67	0.4073586077
68	0.4053762499
69	0.4028328907
70	0.4007639989
71	0.3986683246
72	0.3967769994
73	0.3952366432
74	0.3932254723
75	0.391159826
76	0.3891176476
77	0.3870471454
78	0.3851471884
79	0.3828754381
80	0.3809954882
81	0.3786136569
82	0.3766321632
83	0.3748014845
84	0.373306707
85	0.3710310909
86	0.3688895171
87	0.3670301846
88	0.3652667182
89	0.3633986279
90	0.362126081
91	0.3605383076
92	0.3590566431
93	0.3577020972
94	0.3562292692
95	0.3545275409
96	0.3529567902
97	0.3512558583
98	0.3496834864
99	0.348534564
100	0.3471465223
101	0.3456859251
102	0.344852846
103	0.3428795065
104	0.3417970753
105	0.3402665346
106	0.3388206312
107	0.3372767377
108	0.3356673047
109	0.3344106684
110	0.3326996459
111	0.3314199717
112	0.3297763889
113	0.3288388511
114	0.3279613682
115	0.3262945134
116	0.3251173343
117	0.3241573184
118	0.3226592425
119	0.3217790399
120	0.3204353636
121	0.3192989411
122	0.318198997
123	0.3173112222
124	0.3162309391
125	0.3148011436
126	0.3135690032
127	0.3122928105
128	0.3109538095
129	0.3097083698
130	0.3083975942
131	0.3071345166
132	0.3060599661
133	0.3051789515
134	0.3039144131
135	0.3027241949
136	0.3017008458
137	0.3002479335
138	0.2995054729
139	0.2981571552
140	0.2973347221
141	0.296786905
142	0.296200101
143	0.295002922
144	0.2940143159
145	0.2928354539
146	0.2919434769
147	0.2910885583
148	0.2896009711
149	0.2887311207
150	0.2876812724
151	0.2870603446
152	0.2860529406
153	0.2851788477
154	0.2844382218
155	0.2837480225
156	0.2828650314
157	0.2821968269
158	0.2814599947
159	0.2805671406
160	0.279677451
161	0.2788616191
162	0.2785229768
163	0.2776886153
164	0.277296256
165	0.2769413979
166	0.2764963637
167	0.27583867
168	0.2752167027
169	0.274541501
170	0.2737643109
171	0.2731126543
172	0.2721862565
173	0.2715926967
174	0.270843107
175	0.2698583065
176	0.2689945766
177	0.2679010132
178	0.2671965184
179	0.2663140372
180	0.2654367552
181	0.2647245601
182	0.2639175074
183	0.2633950663
184	0.2628774405
185	0.2623947627
186	0.261917322
187	0.2611020817
188	0.2605390433
189	0.2598453869
190	0.2592839112
191	0.2586628151
192	0.2578557587
193	0.2571449368
194	0.2563926377
195	0.2558076211
196	0.2552484914
197	0.2546382196
198	0.2540335826
199	0.2534849521
200	0.2529477399
201	0.2521928399
202	0.251634999
203	0.2508786528
204	0.2503840045
205	0.2498965822
206	0.249605499
207	0.2491148084
208	0.2485770076
209	0.2478192479
210	0.2469203234
211	0.2466275903
212	0.246186909
213	0.2457238552
214	0.2448946122
215	0.2444863967
216	0.2440564074
217	0.2437742867
218	0.24314172
219	0.2425744663
220	0.2421994032
221	0.24132195
222	0.2408406748
223	0.2403374209
224	0.2397660446
225	0.2391131169
226	0.2387767887
227	0.2381735931
228	0.2377922773
229	0.2368611738
230	0.236227573
231	0.2357588005
232	0.2352948243
233	0.2345566763
234	0.2341779034
235	0.2338384049
236	0.2334045219
237	0.2331040267
238	0.2327221673
239	0.2322684138
240	0.2318535457
241	0.2312880795
242	0.2308277532
243	0.230475205
244	0.2301644591
245	0.229637663
246	0.2292910378
247	0.2286822162
248	0.2283916194
249	0.2278924186
250	0.2277986288
251	0.2274411624
252	0.2271504198
253	0.2267817334
254	0.2264240687
255	0.2262016821
256	0.2259867457
257	0.2254086542
258	0.2250440454
259	0.2245464141
260	0.22428264
261	0.2238932249
262	0.2234782539
263	0.222845489
264	0.2223854501
265	0.2219462408
266	0.2214913722
267	0.2210622311
268	0.2207483224
269	0.220359775
270	0.2202322735
271	0.2199632665
272	0.2191651045
273	0.2189836359
274	0.2184667792
275	0.2182002946
276	0.2178797238
277	0.2173763847
278	0.2169727114
279	0.2166173553
280	0.2161281511
281	0.215725725
282	0.2152706208
283	0.2152177906
284	0.21503304
285	0.2144465555
286	0.2140447821
287	0.2135949571
288	0.2134447118
289	0.213043999
290	0.2126818391
291	0.2124016142
292	0.212239478
293	0.2117518984
294	0.211145386
295	0.2107068723
296	0.2104869597
297	0.2101712506
298	0.2098525783
299	0.2094432987
300	0.2088623306
301	0.2086190857
302	0.2084641307
303	0.2081290157
304	0.2076104839
305	0.2074362666
306	0.2071474702
307	0.2068524197
308	0.2063069112
309	0.2060277973
310	0.2056743295
311	0.2052912242
312	0.2050923354
