iter	Logloss
0	0.6869532603
1	0.681617398
2	0.67522597
3	0.6686233866
4	0.664298122
5	0.6586651975
6	0.6528575303
7	0.6471741621
8	0.6431217975
9	0.6368434676
10	0.6312825242
11	0.6254723606
12	0.6201713204
13	0.6154708011
14	0.6110420421
15	0.6060037714
16	0.600337787
17	0.596202588
18	0.590487848
19	0.5865714788
20	0.5813559992
21	0.5774727856
22	0.5726180562
23	0.5679473681
24	0.5641976878
25	0.5601242636
26	0.5553448538
27	0.5514472779
28	0.5468707852
29	0.5424486228
30	0.5387859133
31	0.5358282902
32	0.5326577239
33	0.5287537202
34	0.5246095391
35	0.5208123122
36	0.5174054853
37	0.5139926212
38	0.5102335228
39	0.5070863457
40	0.5033539483
41	0.5002761118
42	0.4964341393
43	0.4927982648
44	0.489711427
45	0.4870314082
46	0.4836462563
47	0.4803337139
48	0.4771721027
49	0.4741159256
50	0.4710149067
51	0.4685852928
52	0.4660153584
53	0.4634013714
54	0.4603256856
55	0.457615328
56	0.4546394814
57	0.4520936157
58	0.449398329
59	0.446662953
60	0.4443679967
61	0.4416481334
62	0.4395675779
63	0.4369829449
64	0.4342391698
65	0.4321021058
66	0.4302858305
67	0.4278910652
68	0.4260726749
69	0.4238782987
70	0.4217603638
71	0.4190616001
72	0.4167407222
73	0.4146338362
74	0.412651214
75	0.4103413278
76	0.408364811
77	0.4066513714
78	0.4047072588
79	0.4029530533
80	0.4007891309
81	0.3997487299
82	0.3976191811
83	0.3957628516
84	0.3942445673
85	0.3927129015
86	0.3912167788
87	0.3903358523
88	0.3882172006
89	0.3871922337
90	0.3851873937
91	0.3835903081
92	0.3818113093
93	0.38053646
94	0.378567308
95	0.3766906627
96	0.3755632321
97	0.3737183509
98	0.3721993299
99	0.3705703691
100	0.369323486
101	0.3680153833
102	0.3664085834
103	0.364992179
104	0.3637005678
105	0.3624298417
106	0.3608444062
107	0.3593585364
108	0.3581524063
109	0.3564218263
110	0.3549789222
111	0.3534585542
112	0.3521355679
113	0.3505738324
114	0.3491091751
115	0.3480627088
116	0.3466466839
117	0.3456514629
118	0.3445550352
119	0.3432922606
120	0.3419259847
121	0.3407557847
122	0.3396989231
123	0.3384324547
124	0.3373935921
125	0.336025074
126	0.3351583111
127	0.3342072559
128	0.3336251019
129	0.3321505074
130	0.3309118055
131	0.3301811585
132	0.328973577
133	0.327809936
134	0.3264368969
135	0.3257725121
136	0.3250675928
137	0.323914318
138	0.3230214568
139	0.3218508194
140	0.3210430564
141	0.3201495125
142	0.3193446778
143	0.3180866435
144	0.317183758
145	0.3163406041
146	0.3152293951
147	0.314378549
148	0.3135190968
149	0.3128350036
150	0.3120323522
151	0.3110609136
152	0.3101379977
153	0.3094498585
154	0.3086592112
155	0.3076061497
156	0.3065863778
157	0.3057687523
158	0.3049087036
159	0.3044097766
160	0.3036286502
161	0.3027720678
162	0.3019996683
163	0.3010759821
164	0.3005165817
165	0.2994227294
166	0.2983304569
167	0.297494912
168	0.2965237896
169	0.2957644856
170	0.2954095691
171	0.294718532
172	0.2937891998
173	0.2928302545
174	0.2922886945
175	0.2916345952
176	0.2907346693
177	0.2900294153
178	0.2893384939
179	0.2887128987
180	0.2879918846
181	0.2874258178
182	0.2871934331
183	0.2865846916
184	0.2860331473
185	0.2854539228
186	0.2844392398
187	0.2838493504
188	0.2828827531
189	0.282434619
190	0.2818503949
191	0.2813148069
192	0.2805937182
193	0.2798542488
194	0.2791714178
195	0.2783780736
196	0.2777733089
197	0.277367761
198	0.2769558746
199	0.2763344935
200	0.2757602402
201	0.2751333511
202	0.274322927
203	0.2736781266
204	0.2729866919
205	0.2725383586
206	0.2718786122
207	0.2712761277
208	0.2707696105
209	0.2702210345
210	0.2697549629
211	0.2692074255
212	0.2685296373
213	0.2682168656
214	0.2676909969
215	0.2670559049
216	0.2665296532
217	0.2658261598
218	0.2652064692
219	0.2648485801
220	0.2643163142
221	0.2637766878
222	0.2632001339
223	0.2626694734
224	0.262154888
225	0.2617203368
226	0.2614856816
227	0.2610596231
228	0.2607560659
229	0.2602941172
230	0.2597610407
231	0.2591145968
232	0.2585900265
233	0.2580491933
234	0.2575162577
235	0.2568717029
236	0.2566927969
237	0.2562761017
238	0.2557368638
239	0.2553898465
240	0.2550638074
241	0.2545282124
242	0.2539054222
243	0.2535468281
244	0.253107891
245	0.2527397273
246	0.2521090965
247	0.251737696
248	0.2513163875
249	0.2508686961
250	0.2503644676
251	0.2498454086
252	0.2493062863
253	0.2490523166
254	0.2486133674
255	0.2480985604
256	0.2477230218
257	0.2474171563
258	0.2472064028
259	0.2468125962
260	0.2463176133
261	0.2460723184
262	0.2455165837
263	0.2449891821
264	0.244777624
265	0.2444011705
266	0.2440062152
267	0.2437532847
268	0.2434244614
269	0.2430823313
270	0.2426507346
271	0.242248082
272	0.2418416303
273	0.2414069747
274	0.240922789
275	0.2404660425
276	0.2401940257
277	0.239718241
278	0.2393966824
279	0.2391201341
280	0.2386827015
281	0.2384448447
282	0.2379247997
283	0.2376219517
284	0.2371247044
285	0.2368261339
286	0.2365735041
287	0.236129262
288	0.2357015209
289	0.235255722
290	0.2348600813
291	0.2346354511
292	0.2343687862
293	0.2340694566
294	0.2338338383
295	0.2335194529
296	0.2332148427
297	0.2327903212
298	0.2324319902
299	0.2320904372
300	0.2318772978
301	0.2314610871
302	0.2312380889
303	0.2308289225
304	0.2307305607
305	0.2304368907
306	0.2301760585
307	0.2298986038
308	0.2294626664
309	0.2291979421
310	0.2289240039
311	0.2284996477
312	0.2281085671
313	0.2277888113
314	0.2276539487
315	0.2272200774
316	0.2270392227
317	0.2268164811
318	0.2263787508
319	0.2261020352
320	0.2255959666
321	0.2251607645
322	0.2248071992
323	0.2244167165
324	0.223975662
325	0.2237663401
326	0.2233392447
327	0.2230885233
328	0.2229904765
329	0.2227143167
330	0.2223342676
331	0.2219502241
332	0.2217908714
333	0.2213295437
334	0.22104518
335	0.2207639142
336	0.2205590392
337	0.220303934
338	0.2200966914
339	0.2196856484
340	0.2194130617
341	0.2191447069
342	0.2186713752
343	0.2184754391
344	0.2181764009
345	0.2178261534
346	0.2175547229
347	0.2171640896
348	0.2168035375
349	0.2165091745
350	0.2162904497
351	0.2159815047
352	0.2156068113
353	0.2153476776
354	0.2150868836
355	0.2147952954
356	0.2143481065
357	0.214111604
358	0.2138219039
359	0.2135478372
360	0.2134008328
361	0.2129166395
362	0.2126972759
363	0.2125242267
364	0.2122203441
365	0.2120296456
366	0.2118349961
367	0.211579361
368	0.2112643726
369	0.2111034912
370	0.2108445103
371	0.2105581976
372	0.2104178342
373	0.2099572008
374	0.2095165756
375	0.2092195307
376	0.2090172559
377	0.2087884615
378	0.2084425786
379	0.2081843675
380	0.2078117685
381	0.2074108975
382	0.2071236667
383	0.2068770984
384	0.2065918188
385	0.2061722078
386	0.2059039339
387	0.2057754903
388	0.205553423
389	0.2053062102
390	0.2050843027
391	0.2048372628
392	0.2045720959
393	0.2044702246
394	0.2042341406
395	0.2040612928
396	0.2038294652
397	0.2034241056
398	0.2030403641
399	0.2028373389
400	0.2024365505
401	0.202184296
402	0.2020313301
403	0.2020050026
404	0.2018049221
405	0.2016168549
406	0.201505574
407	0.2012379431
408	0.2009170377
409	0.2008212737
410	0.2005625358
411	0.2003164219
412	0.2001597389
413	0.199751424
414	0.1996021714
415	0.1994265072
416	0.1993128341
417	0.1992241402
418	0.1991366337
419	0.1990760739
420	0.1987650989
421	0.1985316909
422	0.1982900233
423	0.1981275331
424	0.1979769654
425	0.1976900967
426	0.1974471486
427	0.1972945516
428	0.1969809301
429	0.1967214282
430	0.1965375007
431	0.1963147042
432	0.1961380209
433	0.1959294872
434	0.1957454299
435	0.1955096918
436	0.1950620568
437	0.194572957
438	0.1943716507
439	0.1941173508
440	0.1938688589
441	0.1936959641
442	0.1933923865
443	0.1931863043
444	0.1930394002
445	0.1926896095
446	0.192443199
447	0.1922425664
448	0.1920661733
449	0.1919372415
450	0.1916018853
451	0.1912476131
452	0.1911226095
453	0.1909538318
454	0.1907073248
455	0.1903791011
456	0.1903685275
457	0.1901123565
458	0.1898595685
459	0.1896339833
460	0.1893350192
461	0.1892132752
462	0.1889919186
463	0.188703968
464	0.188542097
465	0.1884412614
466	0.1882913987
467	0.188183252
468	0.1880162277
469	0.1877739312
470	0.1876766735
471	0.1874977263
472	0.1872133126
473	0.1869441888
474	0.1868084662
475	0.1866927768
476	0.1865556463
477	0.1863341173
478	0.1862357859
479	0.1859145191
480	0.1856271055
481	0.1855193021
482	0.1853243979
483	0.1851739955
484	0.1851637428
485	0.1851358334
486	0.1849878693
487	0.184628252
488	0.1843786834
489	0.1842063756
490	0.1840828657
491	0.1839423509
492	0.1838354262
493	0.1837249226
494	0.1835688281
495	0.1833736923
496	0.1831657883
497	0.182992282
498	0.1827930662
499	0.1825422189
500	0.1823668942
501	0.1821179662
502	0.1819222216
503	0.1817207787
504	0.1815273323
505	0.1811424479
506	0.1808966243
507	0.1806315842
508	0.1805540728
509	0.1804111212
510	0.1804009808
511	0.1801273732
512	0.1799442
513	0.1798337683
514	0.1796762224
515	0.1794712759
516	0.1790766576
517	0.1789407499
518	0.1788473171
519	0.178626462
520	0.1784365711
521	0.178224072
522	0.1780550972
523	0.1776988192
524	0.1774963352
525	0.1773506464
526	0.1772161064
527	0.1770298019
