iter	MultiClass
117	0.1604970202
118	0.1599711133
119	0.1592491737
120	0.1581366999
121	0.15765022
122	0.1567125489
123	0.1560046082
124	0.1553295618
125	0.1545562244
126	0.1540034841
127	0.152932053
128	0.1524607603
129	0.1517449386
130	0.1513015569
131	0.1506458386
132	0.1499285025
133	0.1491113819
134	0.1484383204
135	0.1478101737
136	0.1472633203
137	0.1464902722
138	0.1458754896
139	0.145392687
140	0.1446803052
141	0.1440988289
142	0.1435102843
143	0.1429650684
144	0.1423154411
145	0.1418973049
146	0.1414981469
147	0.1408389161
148	0.1402733289
149	0.1394773319
150	0.1388703984
151	0.1383964008
152	0.137498861
153	0.1369735517
154	0.1366547247
155	0.1361471258
156	0.135785903
157	0.1351369708
158	0.1346980789
159	0.1342223411
160	0.133820183
161	0.1335925128
162	0.1329829436
163	0.1325533784
164	0.1322483755
165	0.1316240202
166	0.131211041
167	0.1309023172
168	0.1300913766
169	0.1298156937
170	0.1293892645
171	0.1288835178
172	0.1282345152
173	0.1278169134
174	0.1273348484
175	0.1270199545
176	0.1266215668
177	0.1263237545
178	0.1258749631
179	0.1255186816
180	0.1249365655
181	0.1242544188
182	0.1237186259
183	0.1232010958
184	0.12276801
185	0.1224006383
186	0.1220237013
187	0.1215607191
188	0.1213060331
189	0.1210281631
190	0.120529079
191	0.1201924704
192	0.1196867693
193	0.1193269515
194	0.1189873707
195	0.1186775011
196	0.1183670464
197	0.1180051009
198	0.1175216398
199	0.117175239
200	0.1165113709
201	0.1163952722
202	0.1158649702
203	0.1153989812
204	0.1147524799
205	0.1144480333
206	0.1140634414
207	0.1136627989
208	0.1132651859
209	0.1128746709
210	0.1125902959
211	0.1123445286
212	0.1119802952
213	0.1113815635
214	0.1107776731
215	0.1103703167
216	0.1100157778
217	0.1096287207
218	0.1090085291
219	0.1085547388
220	0.1083147571
221	0.1079600294
222	0.107542209
223	0.1071893969
224	0.1068299767
225	0.1064954928
226	0.1060688178
227	0.1057424442
228	0.1056230171
229	0.1054313236
230	0.1050421281
231	0.1048456504
232	0.1044367807
233	0.1040205726
234	0.1038615631
235	0.1035541885
236	0.1032758495
237	0.1030197559
238	0.102617414
239	0.1022746905
240	0.1019647516
241	0.1016826217
242	0.1011116624
243	0.1006823349
244	0.1003580714
245	0.1000571622
246	0.09991127368
247	0.09956754521
248	0.09922470097
249	0.09895640723
250	0.09861584374
251	0.09831115377
252	0.09780928511
253	0.09740098358
254	0.09714610838
255	0.09691610027
256	0.09665770181
257	0.09636843756
258	0.09608117469
259	0.09593724539
260	0.09555821361
261	0.09517524027
262	0.09485735704
263	0.09463207885
264	0.09448460319
265	0.09411306136
266	0.09386603077
267	0.09354741635
268	0.09317087747
269	0.09290842167
270	0.09261906052
271	0.09244200529
272	0.09212496305
273	0.0919128056
274	0.09169632898
275	0.0914073413
276	0.09099137976
277	0.09070771138
278	0.09044169821
279	0.09024328278
280	0.08981132168
281	0.08953451916
282	0.08914313178
283	0.08893618292
284	0.08879151459
285	0.08840868673
286	0.08813705218
287	0.08797351181
288	0.08766381563
289	0.08719784446
290	0.08707495742
291	0.08685496873
292	0.08665468936
293	0.08634503603
294	0.08611103046
295	0.0858606453
296	0.08572468027
297	0.08551201807
298	0.08533465057
299	0.08510205159
300	0.08486435821
301	0.08472726017
302	0.08451945788
303	0.08432711791
304	0.08397157788
305	0.08373401001
306	0.08336260329
307	0.08298802794
308	0.08265044179
309	0.08250314877
310	0.08219387652
311	0.08199095039
312	0.08177071826
313	0.08142813762
314	0.08118835766
315	0.08096220389
316	0.08076903646
317	0.08053869929
318	0.08023074988
319	0.07999778006
320	0.07990518916
321	0.07969099569
322	0.07939832816
323	0.07910368792
324	0.07890824463
325	0.07855086117
326	0.07836129104
327	0.07811018317
328	0.07790087124
329	0.07769394539
330	0.07742277537
331	0.07728911647
332	0.07710122816
333	0.07702134389
334	0.07681517446
335	0.07661666238
336	0.07649847277
337	0.07624968021
338	0.07618297294
339	0.07599796304
340	0.07568684132
341	0.07552785414
342	0.07535706863
343	0.07517302463
344	0.07494173771
345	0.07476734098
346	0.07456132032
347	0.07440240246
348	0.07428869492
349	0.07412121396
350	0.07398335508
351	0.07378039658
352	0.07358086232
353	0.07342731668
354	0.07327024996
355	0.07310242829
356	0.07290639633
357	0.0726295951
358	0.07246881835
359	0.07224643501
360	0.07203851815
361	0.07187684472
362	0.07167240178
363	0.07149386386
364	0.07136000023
365	0.07122204769
366	0.07108164313
367	0.07093983772
368	0.07074765303
369	0.07056361507
370	0.07041799618
371	0.07017017788
372	0.07004223893
373	0.06983763259
374	0.06969631702
375	0.0695621514
376	0.06937490558
377	0.06920587285
378	0.06893982972
379	0.06874376142
380	0.06864635405
381	0.068462538
382	0.06830299185
383	0.06817006879
384	0.06798677469
385	0.06785974817
386	0.06762282622
387	0.06746217538
388	0.06727628561
389	0.06714815373
390	0.06703454373
391	0.06688231313
392	0.06681157341
393	0.06673641011
394	0.06659819914
395	0.06644653681
396	0.06633096525
397	0.06616022006
398	0.06609220969
399	0.06598421877
400	0.06585264131
401	0.06569980132
402	0.06557048688
403	0.06539177077
404	0.06526831654
405	0.06509818847
406	0.06493754151
407	0.0648113949
408	0.06467930916
409	0.06449817712
410	0.06437310734
411	0.0642716869
412	0.06408698746
413	0.06392532621
414	0.06383252724
415	0.06362284813
416	0.06346432795
417	0.06336816525
418	0.06319549477
419	0.06304501133
420	0.0629253168
421	0.06280207542
422	0.0626813291
423	0.06252492196
424	0.06235332923
425	0.06217232984
426	0.06205235136
427	0.06196019622
428	0.06182076455
429	0.06168778187
430	0.06158873911
431	0.06147019388
432	0.06128300169
433	0.06112221679
434	0.06097027968
435	0.06084035414
436	0.06071391047
437	0.06061133629
438	0.06046598676
439	0.0603421895
440	0.06024996385
441	0.06014583001
442	0.06003593797
443	0.05994851486
444	0.05982959633
445	0.05972267305
446	0.05953777456
447	0.05947816407
448	0.05933169189
449	0.05923254924
450	0.05916382811
451	0.05906034474
452	0.05889723675
453	0.05875983263
454	0.05864430798
455	0.05853817996
456	0.05847881417
457	0.05833224663
458	0.05822370175
459	0.058139737
460	0.05801633502
461	0.05790114177
462	0.05781835336
463	0.05770611927
464	0.05763215852
465	0.05747457938
466	0.05739633535
467	0.05729361743
468	0.05715052069
469	0.05702476045
470	0.0569171485
471	0.05676141055
472	0.05665722093
473	0.05654294279
474	0.05644505104
475	0.05630713232
476	0.05622777644
477	0.05613233246
478	0.05600814847
479	0.05588856972
480	0.05580430612
481	0.05569609761
482	0.05558041413
483	0.05549846931
484	0.05544441889
485	0.0553161764
486	0.0552356259
487	0.05515155781
488	0.05501161461
489	0.05492364341
490	0.0548374241
491	0.05475512993
492	0.05468409191
493	0.05460815491
494	0.05456394888
495	0.05448121953
496	0.05433872153
497	0.05423540249
498	0.05415445938
499	0.05405060959
500	0.05390408648
501	0.05382872928
502	0.05370986427
503	0.05360015446
504	0.05348752396
505	0.05340286346
506	0.05329446798
507	0.0532017608
508	0.05309634111
509	0.05303276478
510	0.0529400327
511	0.05286015697
512	0.05277826521
513	0.05272309876
514	0.05264062489
515	0.05257077532
516	0.05248130564
517	0.05240215859
518	0.05233148467
519	0.05221750143
520	0.05214184428
521	0.0520419001
522	0.05195792298
523	0.0518575016
524	0.05178340586
525	0.05164733431
526	0.05154311053
527	0.05147514856
528	0.05141449847
529	0.05132654531
530	0.05124253204
531	0.05111122501
532	0.05105539234
533	0.05097784408
534	0.05087681571
535	0.05079822617
536	0.05073552222
537	0.05063680802
538	0.05054341779
539	0.05042452832
540	0.05033020081
541	0.05022659314
542	0.05012696665
543	0.05004443772
544	0.04997556814
545	0.04992467204
546	0.04988568933
547	0.04979831365
548	0.04975120259
549	0.04967426719
550	0.04958457817
551	0.04950144661
552	0.04942275821
553	0.04934222879
554	0.04929366173
555	0.04921657558
556	0.04909805396
557	0.0490384052
558	0.04897712032
559	0.04890278494
560	0.0488282468
561	0.04872037171
562	0.0486637513
563	0.04858864376
564	0.04849434651
565	0.04842954729
566	0.04835493659
567	0.04830858087
568	0.04824523283
569	0.04816813697
570	0.04811476228
571	0.04803945457
572	0.04797921935
573	0.04790879742
574	0.04782315267
575	0.0477768916
576	0.04769526473
577	0.04763335036
578	0.04752444474
579	0.04747481188
580	0.04741822724
581	0.04735568561
582	0.04724369544
583	0.04717730993
584	0.04709136989
585	0.04701572285
586	0.04696557693
587	0.04686530612
588	0.04681730834
589	0.04674745804
590	0.04666693073
591	0.04661077679
592	0.04654951972
593	0.04645944062
594	0.04636240064
595	0.04632494374
596	0.04627627728
597	0.04621783989
598	0.04609627935
599	0.04602021372
600	0.04594111217
601	0.04586588825
602	0.04578663589
603	0.04571217961
604	0.04563802429
605	0.0455697255
606	0.04552936788
607	0.04547345234
608	0.04541845368
609	0.04534687084
610	0.04528150021
611	0.04522274404
612	0.04510933801
613	0.04507583883
614	0.04499170561
615	0.04493842642
616	0.0448645234
617	0.04477124341
618	0.04472525133
619	0.04467182241
620	0.04458365051
621	0.04451831076
622	0.04444289909
623	0.04435982047
624	0.04429852098
625	0.04424076591
626	0.04415375015
627	0.04405289415
628	0.04400411502
629	0.04396255013
630	0.04388559657
631	0.04380306435
632	0.04375121028
633	0.04368430154
634	0.04360441734
635	0.04351431677
636	0.04345432304
637	0.04339885957
638	0.0433279416
639	0.04327032085
640	0.04322708693
641	0.04314575496
642	0.04307015506
643	0.04302063171
644	0.04297746886
645	0.04294486741
646	0.04288986523
647	0.04283998438
648	0.04275114887
649	0.04270138954
650	0.04264644783
651	0.04257260629
652	0.04252004766
653	0.04246519345
654	0.04240063724
655	0.042358497
656	0.04228130083
657	0.04222521637
658	0.04217782633
659	0.04214052505
660	0.04208221399
661	0.04198399083
662	0.04193443714
663	0.04188006722
664	0.04181479007
665	0.04176103133
666	0.04169691708
667	0.04163334168
668	0.04156950574
669	0.04152029748
670	0.04147409121
671	0.0414214448
672	0.041375192
673	0.04130637123
674	0.04125974458
675	0.04121173666
676	0.04115997597
677	0.04112024414
678	0.04106841312
679	0.04103806537
680	0.04098042063
681	0.0409149447
682	0.04087059403
683	0.04082633916
684	0.04079117218
685	0.04075069826
686	0.04070591069
687	0.04062807384
688	0.04057007562
689	0.04052618617
690	0.0404530952
691	0.04037949081
692	0.04034278973
693	0.04028869664
694	0.04024598563
695	0.04019561224
696	0.04014616027
697	0.04010757846
698	0.0400752442
699	0.04002938924
700	0.03998689802
701	0.03994745421
702	0.039902644
703	0.03986421968
704	0.03980923197
705	0.03974789641
706	0.03972409194
707	0.03966199791
708	0.03959906022
709	0.03956354648
710	0.03952749638
711	0.03946079384
712	0.03941126462
713	0.03933595459
714	0.03927386266
715	0.03924034527
716	0.03915968272
717	0.03909776987
718	0.03905097151
719	0.03902397052
720	0.038974068
721	0.03893771135
722	0.0388750221
723	0.0388235552
724	0.0387693333
725	0.03868284278
726	0.03864996499
727	0.03859390381
728	0.03852938956
729	0.03849286079
730	0.03845240461
731	0.03840760232
732	0.0383717154
733	0.03833769835
734	0.03824900296
735	0.03820015848
736	0.03814146377
737	0.03812109219
738	0.0380708603
739	0.03804184243
740	0.03799435595
741	0.03796585485
742	0.03791987598
743	0.03786025686
744	0.03779527924
745	0.03775769534
746	0.03771133265
747	0.03766693422
748	0.03758851077
749	0.03754721611
750	0.0375012747
751	0.03745132563
752	0.03740171585
753	0.03735935556
754	0.03730135889
755	0.03726207048
756	0.03723354834
757	0.03719667561
758	0.03711627642
759	0.03706672472
760	0.03703183209
761	0.03698496287
762	0.03692808291
763	0.0368700012
764	0.03683038446
765	0.03677695272
766	0.03674837305
767	0.03668998588
768	0.03661593475
769	0.03656000531
770	0.03653243782
771	0.03649105858
772	0.03645356913
773	0.03640810707
774	0.03636975307
775	0.03632445833
776	0.03627492163
777	0.03623223939
778	0.03618016494
779	0.03613103812
780	0.0361002368
781	0.03605111809
782	0.03602546016
783	0.03598713421
784	0.03594315147
785	0.03591248047
786	0.03584554306
787	0.03580496567
788	0.03577928747
789	0.03575087531
790	0.03571241771
791	0.03568563321
792	0.03562764352
793	0.03557318068
794	0.03554409279
795	0.03550740242
796	0.03547251997
797	0.03543701351
798	0.03539534933
799	0.03534398477
800	0.0353162502
801	0.03527462817
802	0.0352523305
803	0.03522333515
804	0.03516923929
805	0.03513010216
806	0.03508284764
807	0.03505810162
808	0.03502253
809	0.03499856911
810	0.03496151711
811	0.03492205297
812	0.03489455676
813	0.03486585597
814	0.03481499323
815	0.0347811894
816	0.03473812867
817	0.03470801357
818	0.03465787972
819	0.03460417001
820	0.03456391322
821	0.03451521536
822	0.0344894406
823	0.03445215455
824	0.03441074394
825	0.03436353657
826	0.03431585616
827	0.0342751314
828	0.03424501938
829	0.03420491618
830	0.03415865522
831	0.03413066994
832	0.03410106323
833	0.03405633288
834	0.03402917965
835	0.03398429146
836	0.03395069769
837	0.03391077098
838	0.03388481432
839	0.03385603848
840	0.03382757516
841	0.03379534704
842	0.03375475531
843	0.03370855679
844	0.03364794241
845	0.03361336632
846	0.03358359228
847	0.03354467263
848	0.03351509413
849	0.03348384164
850	0.03345851392
851	0.03342341041
852	0.03338247525
853	0.03335272412
854	0.03332243193
855	0.03329486371
856	0.03327154541
857	0.03323819886
858	0.03319557274
859	0.0331618325
860	0.03314190159
861	0.03311156393
862	0.03308605383
863	0.03305779284
864	0.03302268655
865	0.03299531691
866	0.03295075863
867	0.03291482862
868	0.03286826528
869	0.03283397374
870	0.03281079204
871	0.03277643379
872	0.03272203975
873	0.03269402374
874	0.03266258862
875	0.03262659624
876	0.03259999201
877	0.03256100219
878	0.03252070551
879	0.03247569325
880	0.03245700756
881	0.03241731899
882	0.03238786318
883	0.03236067719
884	0.03232208376
885	0.03228049855
886	0.03223086676
887	0.0322090468
888	0.03218196861
889	0.03215235879
890	0.03211356753
891	0.0320782861
892	0.03205150908
893	0.03201580723
894	0.03198334404
895	0.0319606992
896	0.03193361725
897	0.03186845958
898	0.03183444787
899	0.03181475286
900	0.03178359843
901	0.03175985683
902	0.03172510075
903	0.03170365435
904	0.03168154366
905	0.0316519151
906	0.03161543256
907	0.03159081182
908	0.03156908709
909	0.03152881699
910	0.03150730596
911	0.03147377481
912	0.03145189646
913	0.03139764101
914	0.03137741757
915	0.03134570471
916	0.03131291509
917	0.03128791696
918	0.03125526789
919	0.0312330614
920	0.03120969044
921	0.03118234426
922	0.03115782924
923	0.03113223437
924	0.03110425314
925	0.03106859863
926	0.0310333188
927	0.03100927944
928	0.03097573794
929	0.03093841512
930	0.03090802158
931	0.03087985921
932	0.03086055491
933	0.03083817576
934	0.0307991053
935	0.03077074611
936	0.03075407427
937	0.03071258408
938	0.03069302687
939	0.03065887981
940	0.03064033189
941	0.0306097763
942	0.03058891355
943	0.0305661197
944	0.03054182501
945	0.03051585507
946	0.03049005588
947	0.03044726302
948	0.03040730244
949	0.03037704505
950	0.03035442267
951	0.03032409412
952	0.0303015034
953	0.03027955837
954	0.03026170209
955	0.03024215931
956	0.03020973105
957	0.03018264305
958	0.03016406772
959	0.03014414571
960	0.03012065403
961	0.030100969
962	0.03007822316
963	0.03004584875
964	0.03002501115
965	0.03000696758
966	0.02999208529
967	0.02997471802
968	0.02994966802
969	0.02992712864
970	0.02991072621
971	0.02989055894
972	0.02987137452
973	0.02984074136
974	0.02982252758
975	0.02979244716
976	0.02976470269
977	0.02974092989
978	0.02971406212
979	0.0296979195
980	0.02967542234
981	0.02965574644
982	0.02963255714
983	0.02960586997
984	0.0295855394
985	0.02955126752
986	0.02953019988
987	0.02950312878
988	0.02948290567
989	0.02946364679
990	0.02943229178
991	0.02941488492
992	0.02939272184
993	0.02936933895
994	0.02934181571
995	0.02932167154
996	0.02929325861
997	0.02927368725
998	0.02925134794
999	0.02922026679
