iter	Logloss
0	0.674546753
1	0.6573293764
2	0.6418983159
3	0.6264188692
4	0.6132635011
5	0.6003460735
6	0.5874328727
7	0.5758416167
8	0.5642790998
9	0.553060016
10	0.5439567861
11	0.5339433957
12	0.5249703273
13	0.5168973954
14	0.5096266026
15	0.5023943469
16	0.495287445
17	0.4884233174
18	0.4820105081
19	0.475876551
20	0.4704283341
21	0.4653624704
22	0.460544967
23	0.4557144932
24	0.4512040034
25	0.4471681776
26	0.4427255561
27	0.4387728089
28	0.4351189222
29	0.431649203
30	0.428557484
31	0.4254077203
32	0.4225919735
33	0.4196047788
34	0.4168563156
35	0.4145299896
36	0.41207
37	0.4095280096
38	0.4074234917
39	0.4053195344
40	0.4031772117
41	0.4012994366
42	0.3993109583
43	0.3974119654
44	0.3956023251
45	0.3941087691
46	0.3924911592
47	0.3909921505
48	0.3896322647
49	0.388466031
50	0.3871610452
51	0.3860148243
52	0.3848810556
53	0.3838522294
54	0.3826710961
55	0.3815793619
56	0.3806086747
57	0.3796802824
58	0.3788583193
59	0.3778797996
60	0.3768766799
61	0.3760494348
62	0.3752597376
63	0.3745140112
64	0.373799458
65	0.3729898586
66	0.3721741745
67	0.3714234274
68	0.3706586306
69	0.3699049146
70	0.3693392258
71	0.3687416383
72	0.3680508921
73	0.3674955827
74	0.3669532158
75	0.3663409079
76	0.3657652833
77	0.3652807144
78	0.3648509729
79	0.3644681969
80	0.3640650404
81	0.3636762156
82	0.3632440146
83	0.3628849284
84	0.3627103014
85	0.3623706252
86	0.3620608456
87	0.361625303
88	0.3614508102
89	0.3611679434
90	0.3607474345
91	0.3604517585
92	0.3603347053
93	0.3600564608
94	0.3599128519
95	0.3595436636
96	0.3593597922
97	0.3590672813
98	0.3587271704
99	0.3585421908
100	0.3582932593
101	0.3581272521
102	0.3578801043
103	0.3575700823
104	0.3573536824
105	0.3571176605
106	0.3569160855
107	0.3566872774
108	0.3564959399
109	0.3561989186
110	0.35604616
111	0.3558334024
112	0.3556154799
113	0.3554520311
114	0.3552279291
115	0.3550410054
116	0.3549027813
117	0.3547764447
118	0.3546434079
119	0.3545517131
120	0.3543456446
121	0.3542137881
122	0.3540535218
123	0.3539194056
124	0.3538181477
125	0.3536239433
126	0.35348372
127	0.3533476439
128	0.353263136
129	0.3530641429
130	0.3529539302
131	0.3528421817
132	0.3527361509
133	0.3526522974
134	0.3524934864
135	0.3523655614
136	0.3522348478
137	0.3521520154
138	0.352059906
139	0.3519068397
140	0.3518431645
141	0.3517540148
142	0.3516468042
143	0.3515675437
144	0.3514990368
145	0.3514281301
146	0.351371933
147	0.3512667122
148	0.3511748051
149	0.3510532627
150	0.3510250515
151	0.3509310895
152	0.3508690604
153	0.3507972506
154	0.3507289596
155	0.350618841
156	0.3505583963
157	0.3504936074
158	0.350459417
159	0.3504080484
160	0.3503641921
161	0.3502872637
162	0.3502255818
163	0.3502063187
164	0.3500924524
165	0.3500397168
166	0.35002917
167	0.3499543206
168	0.349888872
169	0.3498403474
170	0.3497717696
171	0.3497138092
172	0.3496689082
173	0.3496488262
174	0.3496041219
175	0.3495078944
176	0.3494454999
177	0.3494343324
178	0.3493589044
179	0.3493387897
180	0.3493003919
181	0.3492611132
182	0.3491907413
183	0.3491835903
184	0.3491657613
185	0.3491238042
186	0.3490937941
187	0.3490371503
188	0.3490038436
189	0.348985721
190	0.3489559073
191	0.3489122962
192	0.3488352101
193	0.348796596
194	0.3487544792
195	0.3487234899
196	0.3486865423
197	0.3486611775
198	0.3486221052
199	0.3485913784
200	0.3485679976
201	0.3485405515
202	0.3484733297
203	0.3484645132
204	0.348458146
205	0.3484185993
206	0.3483758218
207	0.3483652099
208	0.3483164235
209	0.3482929766
210	0.3482575531
211	0.3482157065
212	0.3481955462
213	0.3481722643
214	0.3481537162
215	0.3481087973
216	0.3480904984
217	0.3480644581
218	0.3480301054
219	0.3480197226
220	0.3479859777
221	0.3479648695
222	0.3479528851
223	0.3479194465
224	0.3478985619
225	0.3478911825
226	0.3478540537
227	0.3478294325
228	0.3478003357
229	0.3477914536
230	0.3477864577
231	0.3477549629
232	0.3477266726
233	0.3477015768
234	0.3476845959
235	0.3476646757
236	0.3476265175
237	0.3476116429
238	0.347595134
239	0.3475829212
240	0.3475595064
241	0.3475271455
242	0.3474937274
243	0.3474722582
244	0.3474534383
245	0.3474336061
246	0.3474108353
247	0.3473988755
248	0.347385869
249	0.347368682
250	0.347357044
251	0.3473374378
252	0.3473239848
253	0.3473217315
254	0.3473045792
255	0.3472848398
256	0.3472672955
257	0.3472403554
258	0.3472374492
259	0.347234641
260	0.347232192
261	0.3472294815
262	0.3472175187
263	0.3472006243
264	0.3471970984
265	0.3471911552
266	0.3471909919
267	0.3471698567
268	0.347166363
269	0.3471507105
270	0.3471478372
271	0.3471392162
272	0.3471351665
273	0.3471107337
274	0.347102629275	0.3452075248
276	0.3452050742
277	0.3452021662
278	0.3451905669
279	0.3451843262
280	0.3451603434
281	0.3451553443
282	0.3451521422
283	0.3451382557
284	0.3451338121
285	0.3451290286	286	0.3451089144
287	0.3450847683
288	0.3450765018
289	0.3450651312
290	0.3450490291	291	0.3450459292	292	0.3450389919
293	0.3450367294	294	0.3450218707
295	0.3450098467
296	0.3449976919
297	0.3449829232
298	0.34497763
299	0.3449765845
300	0.3449734804
301	0.3449618811
302	0.344943551
303	0.3449354805
304	0.3449207118
305	0.3449210385
306	0.3449137196
307	0.3449060738
308	0.3448939844
309	0.3448920566
310	0.3448824178
311	0.3448701977
312	0.3448617678
313	0.3448528804
314	0.3448461496
315	0.3448402029
316	0.3448387979
317	0.3448328839
318	0.3448259897
319	0.3448189648
320	0.3448104042
321	0.3448014515
322	0.344799491
323	0.3447948513
324	0.3447828926
325	0.3447815203
326	0.3447792331
327	0.3447706071
328	0.3447515255
329	0.3447404817
330	0.3447391747
331	0.3447205178
332	0.3447175771
333	0.3447106502
334	0.3447086244
335	0.3446997044
336	0.3446959142
337	0.3446917973
338	0.3446919933
339	0.3446744147
340	0.3446736305
341	0.3446597114
342	0.344650824
343	0.3446458902
344	0.3446416099
345	0.3446354672
346	0.3446327553
347	0.3446255016
348	0.3446212867
349	0.3446201431
350	0.3446175945
351	0.3446181826
352	0.3446058318
353	0.3446009634
354	0.3445997871
355	0.3445987416
356	0.3445929909
357	0.3445797252
358	0.3445776014
359	0.3445717854
360	0.344571132
361	0.3445596307
362	0.3445543702
363	0.3445481621
364	0.3445447967
365	0.3445441105
366	0.3445390134
367	0.3445303221
368	0.3445281656
369	0.3445220882
370	0.3445146712
371	0.3445144425
372	0.3445076463
373	0.3445026798
374	0.34450085
375	0.3444964717
376	0.3444917013
377	0.3444846437
378	0.3444799386
379	0.3444744494
380	0.3444743187
381	0.3444691562
382	0.3444687314
383	0.3444642224
384	0.3444571975
385	0.344455041
386	0.3444554658
387	0.3444488329
388	0.3444430496
